ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,sessions_per_day,km_per_drive,total_navigations,favorite_ratio,driving_consistency,inactive_days,inactive_ratio,device_android
0,retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,10.107142857142858,11.63205782300885,208,1.0,0.6785714285714286,2248,0.9876977152899824,1
1,retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone,10.23076923076923,128.186173364486,83,1.0,0.8461538461538461,1212,0.9893877551020408,0
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,8.142857142857142,32.20156650526316,0,0.0,0.5714285714285714,2637,0.994718973972086,1
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,7.0,22.8397780775,329,1.0,0.4285714285714285,8,0.5333333333333333,0
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,3.111111111111111,58.091206,171,1.0,0.6666666666666666,1535,0.9827144686299616,1
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,7.533333333333333,8.74989027669903,0,0.0,0.7333333333333333,2622,0.994311717861206,0
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,0.1071428571428571,2624.586414,203,1.0,0.8214285714285714,332,0.9222222222222224,0
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,1.7727272727272727,225.48721337142857,0,0.0,0.9090909090909092,2977,0.9926642214071356,0
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,2.28,57.64586443478261,26,1.0,0.8,399,0.9410377358490566,1
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,12.0,88.87441610294117,72,1.0,0.4285714285714285,2990,0.9976643309976644,0
10,retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone,2.555555555555556,427.745722,36,1.0,1.0,1937,0.9953751284686536,0
11,retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone,125.0,22.84819767,10,1.0,1.0,486,0.997946611909651,0
12,retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone,4.25,61.27582234146342,64,1.0,1.0,2748,0.9956521739130436,0
13,retained,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,Android,80.0,133.30075109375,55,1.0,0.0,3153,0.9996829422954978,1
14,churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android,inf,89.73956366666667,78,1.0,0.0,2524,1.0,1
15,retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone,2.090909090909091,99.49226231818184,193,1.0,0.9090909090909092,39,0.78,0
16,retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android,1.7647058823529411,48.54197116,80,1.0,0.7647058823529411,1537,0.989060489060489,1
17,churned,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,Android,24.727272727272727,16.11570310502283,90,1.0,1.0,77,0.875,1
18,retained,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,Android,4.8,240.54233486842105,142,1.0,0.3,2067,0.9951853635050554,1
19,retained,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,iPhone,4.818181818181818,87.41368776530612,6,1.0,0.9090909090909092,65,0.7471264367816092,0
20,retained,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,iPhone,7.428571428571429,38.14038771428572,306,1.0,1.0,2930,0.9976166155941436,0
21,retained,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,iPhone,7.047619047619048,18.23778837815126,105,1.0,1.0,480,0.9580838323353292,0
22,churned,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,iPhone,4.5625,44.22394868333333,346,1.0,1.0,1591,0.9900435594275048,0
23,churned,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,iPhone,14.5,186.23930056521735,338,1.0,1.0,2186,0.9990859232175504,0
24,retained,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,Android,0.1875,758.0690576666666,86,1.0,0.625,1068,0.985239852398524,1
25,retained,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,Android,0.0,inf,17,1.0,0.3333333333333333,2725,0.9978030025631636,1
26,retained,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,Android,10.153846153846152,45.55636724528301,227,1.0,0.6923076923076923,99,0.8839285714285714,1
27,churned,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone,0.3125,185.00609484,412,1.0,0.5,2449,0.9935091277890468,0
28,retained,64,54,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,iPhone,32.0,50.43509674074074,81,1.0,1.0,1633,0.998776758409786,0
29,retained,57,46,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,Android,2.111111111111111,31.37915441304348,524,1.0,0.7777777777777778,1705,0.9844110854503464,1
30,retained,78,66,484.5716429,2381,106,21,10573.01978,6978.070441,31,26,iPhone,2.5161290322580645,160.1972693939394,127,1.0,0.8387096774193549,2350,0.986980260394792,0
31,retained,46,37,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,iPhone,2.090909090909091,109.24610667567568,398,1.0,0.7727272727272727,2916,0.9925119128658952,0
32,retained,38,34,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,iPhone,1.5833333333333333,137.30077726470586,325,1.0,0.8333333333333334,1916,0.9876288659793816,0
33,retained,291,233,568.7227649,275,39,9,2578.7202,1703.292389,15,15,iPhone,19.4,11.067468669527898,48,1.0,1.0,260,0.9454545454545454,0
34,retained,126,101,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,iPhone,11.454545454545457,36.30055809900991,149,1.0,1.0,2214,0.9950561797752808,0
35,retained,156,127,780.9466294,101,113,0,1944.771913,646.9535456,18,18,iPhone,8.666666666666666,15.31316466929134,113,1.0,1.0,83,0.8217821782178217,0
36,retained,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,Android,18.75,39.24372686666666,259,1.0,0.25,2325,0.9982825246887076,1
37,retained,16,14,103.8941155,443,0,5,8786.114497,7181.044427,19,19,Android,0.8421052631578947,627.5796069285715,5,1.0,1.0,424,0.9571106094808126,1
38,retained,95,78,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,iPhone,4.75,29.67133911538461,63,1.0,1.0,1828,0.9891774891774892,0
39,retained,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,iPhone,3.1379310344827585,37.620013362637366,86,1.0,0.896551724137931,441,0.9382978723404256,0
40,retained,105,91,115.0010192,655,14,11,1822.449032,1197.962657,24,24,Android,4.375,20.02691243956044,25,1.0,1.0,631,0.9633587786259542,1
41,retained,20,17,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,iPhone,0.8695652173913043,187.217498,340,1.0,0.6956521739130435,2578,0.9911572472126106,0
42,retained,165,132,309.913971,2567,293,76,4673.201532,2119.32992,20,17,Android,8.25,35.40304190909091,369,1.0,0.85,2547,0.992208804051422,1
43,retained,133,106,182.484696,2595,185,52,4422.867487,2012.308708,8,2,Android,16.625,41.72516497169812,237,1.0,0.25,2587,0.9969171483622352,1
44,retained,26,22,132.0307891,921,272,7,632.1399703,420.7125087,30,24,Android,0.8666666666666667,28.733635013636363,279,1.0,0.8,891,0.96742671009772,1
45,retained,25,25,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,iPhone,0.925925925925926,47.50336612,7,1.0,0.925925925925926,1192,0.977850697292863,0
46,churned,114,105,309.5828548,189,11,7,4285.245618,2322.605058,9,4,iPhone,12.666666666666666,40.81186302857143,18,1.0,0.4444444444444444,180,0.9523809523809524,0
47,churned,23,20,24.75851394,552,65,14,1564.220191,821.8420876,3,3,iPhone,7.666666666666667,78.21100955,79,1.0,1.0,549,0.9945652173913044,0
48,churned,48,42,223.2527291,757,335,28,9947.593149,3369.145354,8,2,iPhone,6.0,236.84745592857143,363,1.0,0.25,749,0.9894319682959049,0
49,retained,62,51,113.8218829,694,274,42,3826.387247,2916.712292,26,21,Android,2.3846153846153846,75.02720092156864,316,1.0,0.8076923076923077,668,0.962536023054755,1
50,retained,7,7,36.67792977,2794,274,18,1130.116953,723.0277468,8,8,iPhone,0.875,161.445279,292,1.0,1.0,2786,0.9971367215461704,0
51,retained,67,57,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,Android,2.68,28.43062375438597,52,1.0,0.76,1688,0.9854057209573848,1
52,retained,4,4,62.62085256,3291,65,0,4996.233445,1345.047896,28,23,iPhone,0.1428571428571428,1249.05836125,65,1.0,0.8214285714285714,3263,0.9914919477362504,0
53,retained,84,68,123.517569,3286,74,145,1558.791847,1201.028705,17,15,iPhone,4.941176470588236,22.92340951470588,219,1.0,0.8823529411764706,3269,0.994826536822885,0
54,retained,12,10,21.82921966,3365,26,0,2900.68855,1698.26517,14,7,Android,0.8571428571428571,290.068855,26,1.0,0.5,3351,0.9958395245170876,1
55,retained,20,18,110.2701495,724,70,0,4418.959399,1660.205994,7,3,iPhone,2.857142857142857,245.4977443888889,70,1.0,0.4285714285714285,717,0.9903314917127072,0
56,churned,150,127,187.7083464,2028,208,132,1396.461977,496.6208911,0,0,iPhone,inf,10.995763598425196,340,1.0,0.0,2028,1.0,0
57,retained,41,33,176.6673157,2257,86,9,2493.388001,1103.630334,5,4,Android,8.2,75.55721215151515,95,1.0,0.8,2252,0.9977846699158176,1
58,retained,44,35,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,iPhone,4.0,10.046691097142858,304,1.0,0.8181818181818182,2182,0.9949840401276788,0
59,retained,23,20,24.46477623,1924,169,0,11556.27748,4966.840886,27,26,Android,0.8518518518518519,577.813874,169,1.0,0.9629629629629628,1897,0.985966735966736,1
60,retained,49,42,68.3160358,1195,132,9,2702.164267,244.0548921,31,20,iPhone,1.5806451612903225,64.33724445238096,141,1.0,0.6451612903225806,1164,0.9740585774058578,0
